"Curve Name","Curve Length (um)","Average Curvature (um-1)","Curvature Std (um-1)","X-Coordinate (um)","Y-Coordinate (um)","Point Curvature (um-1)","Point Curvature Sign","Red Intensity","Green Intensity","Blue Intensity"
"CURVE 1","5.701177809198804","0.7936833315747293","0.6759202266036122","64.13168142019555","39.33788982179663","0.05079097903823839","-1","117.0","162.0","162.0"
"CURVE 1","5.701177809198804","0.7936833315747293","0.6759202266036122","64.10104199650353","39.31766317413318","0.051070273641991126","-1","122.0","159.0","159.0"
"CURVE 1","5.701177809198804","0.7936833315747293","0.6759202266036122","64.0707171417589","39.2975628234632","0.05133911001679921","-1","122.0","159.0","159.0"
"CURVE 1","5.701177809198804","0.7936833315747293","0.6759202266036122","64.04070458031087","39.27758905456499","0.05159675966281687","-1","122.0","159.0","159.0"
"CURVE 1","5.701177809198804","0.7936833315747293","0.6759202266036122","64.01100203650863","39.25774215221684","0.051842458694228453","-1","120.0","157.0","157.0"
"CURVE 1","5.701177809198804","0.7936833315747293","0.6759202266036122","63.98160723470134","39.23802240119704","0.05207540601646241","-1","123.0","151.0","151.0"
"CURVE 1","5.701177809198804","0.7936833315747293","0.6759202266036122","63.95251789923821","39.21843008628389","0.0522947618955726","-1","123.0","151.0","151.0"
"CURVE 1","5.701177809198804","0.7936833315747293","0.6759202266036122","63.92373175446841","39.19896549225567","0.05249964582205475","-1","123.0","151.0","151.0"
"CURVE 1","5.701177809198804","0.7936833315747293","0.6759202266036122","63.89524652474115","39.17962890389066","0.052689134778438965","-1","123.0","151.0","151.0"
"CURVE 1","5.701177809198804","0.7936833315747293","0.6759202266036122","63.867059934405596","39.16042060596716","0.05286226124503403","-1","122.0","150.0","150.0"
"CURVE 1","5.701177809198804","0.7936833315747293","0.6759202266036122","63.83916970781094","39.14134088326347","0.05301801089982618","-1","126.0","158.0","158.0"
"CURVE 1","5.701177809198804","0.7936833315747293","0.6759202266036122","63.811573569306404","39.12239002055786","0.05315532065523295","-1","126.0","158.0","158.0"
"CURVE 1","5.701177809198804","0.7936833315747293","0.6759202266036122","63.78426924324111","39.10356830262864","0.05327307620804707","-1","126.0","158.0","158.0"
"CURVE 1","5.701177809198804","0.7936833315747293","0.6759202266036122","63.75725445396431","39.0848760142541","0.05337010953142937","-1","123.0","151.0","151.0"
"CURVE 1","5.701177809198804","0.7936833315747293","0.6759202266036122","63.73052692582514","39.06631344021251","0.05344519647857614","-1","123.0","151.0","151.0"
