Curve Name,Curve Length (um),Average Curvature (um-1),Curvature Std (um-1),X-Coordinate (um),Y-Coordinate (um),Point Curvature (um-1),Point Curvature Sign,Red Intensity,Green Intensity,Blue Intensity
CURVE 2,4.128135917,0.46112706,0.415391709,71.96382658,45.84803236,0.230860411,-1,262,184,"184.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.97905292,45.84067914,0.237257097,-1,248,192,"192.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.99419314,45.83344199,0.243822907,-1,248,192,"192.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.00924778,45.82632099,0.250561819,-1,263,187,"187.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.02421736,45.81931623,0.257477845,-1,263,187,"187.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.03910241,45.81242779,0.264575027,-1,263,187,"187.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.05390344,45.80565576,0.271857427,-1,263,187,"187.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.06862099,45.79900023,0.279329123,-1,263,187,"187.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.08325557,45.79246129,0.286994202,-1,263,187,"187.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.09780771,45.78603902,0.294856748,-1,281,182,"182.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.11227794,45.77973351,0.302920835,-1,281,182,"182.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.12666677,45.77354485,0.311190515,-1,281,182,"182.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.14097474,45.76747312,0.319669809,-1,281,182,"182.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.15520236,45.76151842,0.328362692,-1,281,182,"182.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.16935016,45.75568083,0.337273082,-1,281,182,"182.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.18341867,45.74996043,0.346404824,-1,281,182,"182.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.1974084,45.74435732,0.355761675,-1,281,182,"182.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.21131988,45.73887159,0.365347287,-1,249,151,"151.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.22515364,45.73350331,0.375165189,-1,249,151,"151.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.23891021,45.72825258,0.385218767,-1,249,151,"151.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.25259009,45.72311948,0.395511243,-1,249,151,"151.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.26619382,45.7181041,0.406045654,-1,249,151,"151.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.27972193,45.71320654,0.416824828,-1,249,151,"151.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.29317493,45.70842687,0.427851357,-1,279,146,"146.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.30655335,45.70376518,0.439127572,-1,279,146,"146.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.31985771,45.69922156,0.450655512,-1,279,146,"146.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.33308854,45.69479611,0.462436897,-1,260,148,"148.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.34624636,45.69048889,0.474473096,-1,260,148,"148.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.3593317,45.68630001,0.486765091,-1,260,148,"148.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.37234508,45.68222955,0.499313445,-1,260,148,"148.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.38528702,45.6782776,0.512118263,-1,260,148,"148.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.39815805,45.67444425,0.525179158,-1,260,148,"148.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.41095869,45.67072957,0.538495207,-1,260,148,"148.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.42368947,45.66713366,0.552064912,-1,260,148,"148.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.43635091,45.66365662,0.565886161,-1,260,148,"148.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.44894353,45.66029851,0.579956178,-1,306,147,"147.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.46146786,45.65705944,0.594271488,-1,306,147,"147.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.47392441,45.65393948,0.608827863,-1,306,147,"147.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.48631373,45.65093873,0.623620281,-1,306,147,"147.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.49863632,45.64805728,0.638642882,-1,306,147,"147.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.51089272,45.64529521,0.653888918,-1,306,147,"147.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.52308345,45.6426526,0.66935071,-1,306,147,"147.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.53520902,45.64012955,0.685019603,-1,306,147,"147.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.54726997,45.63772614,0.70088592,-1,306,147,"147.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.55926683,45.63544246,0.716938923,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.5712001,45.6332786,0.733166771,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.58307032,45.63123465,0.74955648,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.59487802,45.62931068,0.766093893,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.60662371,45.6275068,0.782763645,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.61830791,45.62582308,0.799549136,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.62993117,45.62425962,0.816432509,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.64149398,45.6228165,0.833394637,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.6529969,45.6214938,0.850415106,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.66444042,45.62029163,0.867472218,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.67582509,45.61921005,0.88454299,-1,281,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.68715141,45.61824917,0.901603167,-1,281,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.69841993,45.61740907,0.918627246,-1,281,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.70963115,45.61668983,0.935588505,-1,281,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.72078562,45.61609154,0.95245904,-1,281,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.73188384,45.61561429,0.969209823,-1,281,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.74292634,45.61525817,0.985810759,-1,281,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.75391365,45.61502327,1.002230761,-1,281,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.76484629,45.61490967,1.018437835,-1,281,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.77572479,45.61491745,1.03439918,-1,281,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.78654967,45.61504672,1.050081291,-1,281,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.79732145,45.61529755,1.065450084,-1,271,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.80804065,45.61567002,1.080471029,-1,271,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.81870781,45.61616424,1.095109284,-1,271,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.82932344,45.61678029,1.109329859,-1,271,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.83988807,45.61751824,1.12309777,-1,271,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.85040223,45.6183782,1.136378213,-1,271,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.86086643,45.61936025,1.149136743,-1,271,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.8712812,45.62046447,1.161339453,-1,271,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.88164707,45.62169095,1.172953169,-1,271,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.89196456,45.62303979,1.183945635,-1,271,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.90223418,45.62451106,1.19428571,-1,271,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.91245648,45.62610485,1.203943555,-1,239,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.92263197,45.62782126,1.212890826,-1,239,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.93276117,45.62966037,1.221100854,-1,239,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.94284461,45.63162226,1.228548822,-1,239,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.95288281,45.63370703,1.235211937,-1,239,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.96287651,45.63591482,1.241578651,-1,239,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.97282723,45.638246,1.246503921,-1,239,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.98273674,45.64070102,1.249963121,-1,239,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,72.99260677,45.64328032,1.251938773,-1,239,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.00243908,45.64598432,1.252420737,-1,239,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.01223541,45.64881346,1.251406331,-1,239,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.0219975,45.65176818,1.248900359,-1,239,142,"142.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.03172711,45.65484893,1.244915053,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.04142597,45.65805613,1.239469936,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.05109585,45.66139021,1.23259161,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.06073847,45.66485163,1.224313454,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.0703556,45.66844081,1.214675266,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.07994897,45.67215819,1.203722832,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.08952033,45.67600422,1.191507446,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.09907143,45.67997931,1.178085377,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.10860402,45.68408392,1.163517311,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.11811984,45.68831847,1.147867748,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.12762064,45.69268341,1.1312044,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.13710817,45.69717917,1.113597566,-1,257,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.14658417,45.70180618,1.095119521,-1,246,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.15605039,45.70656489,1.075843904,-1,246,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.16550857,45.71145574,1.055845134,-1,246,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.17496047,45.71647915,1.035197842,-1,235,140,"140.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.18440782,45.72163556,1.013976341,-1,235,140,"140.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.19385238,45.72692542,0.992254131,-1,235,140,"140.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.20329589,45.73234915,0.970103438,-1,235,140,"140.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.2127401,45.7379072,0.947594805,-1,235,140,"140.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.22218676,45.74359999,0.924796723,-1,235,140,"140.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.2316376,45.74942798,0.901775309,-1,235,140,"140.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.24109439,45.75539159,0.878594031,-1,235,140,"140.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.25055886,45.76149126,0.85531348,-1,235,140,"140.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.26003276,45.76772743,0.831991182,-1,270,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.26951784,45.77410053,0.808681459,-1,270,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.27901585,45.78061101,0.785435327,-1,270,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.28852853,45.78725929,0.762300427,-1,270,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.29805762,45.79404581,0.739321,-1,270,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.30760488,45.80097102,0.716537889,-1,270,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.31717206,45.80803534,0.693988563,-1,270,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.32676089,45.81523922,0.67170718,-1,270,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.33637312,45.82258309,0.649724655,-1,270,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.3460105,45.83006738,0.628068761,-1,270,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.35567479,45.83769254,0.606764236,-1,217,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.36536772,45.845459,0.585832906,-1,217,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.37509103,45.8533672,0.565293816,-1,217,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.38484649,45.86141757,0.545163374,-1,265,154,"154.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.39463583,45.86961056,0.525455492,-1,265,154,"154.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.4044608,45.87794659,0.506181734,-1,265,154,"154.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.41432315,45.8864261,0.487351468,-1,265,154,"154.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.42422462,45.89504953,0.468972015,-1,265,154,"154.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.43416697,45.90381733,0.451048793,-1,265,154,"154.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.44415193,45.91272991,0.433585465,-1,265,154,"154.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.45418125,45.92178773,0.41658408,-1,265,154,"154.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.46425669,45.93099121,0.400045207,-1,265,154,"154.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.47437998,45.9403408,0.383968072,-1,265,154,"154.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.48455288,45.94983693,0.368350675,-1,220,143,"143.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.49477712,45.95948003,0.353189918,-1,221,144,"144.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.50505446,45.96927055,0.338481715,-1,221,144,"144.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.51538665,45.97920892,0.324221101,-1,221,144,"144.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.52577543,45.98929558,0.310402327,-1,221,144,"144.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.53622254,45.99953096,0.297018963,-1,221,144,"144.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.54672974,46.0099155,0.284063981,-1,221,144,"144.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.55729877,46.02044964,0.271529834,-1,221,144,"144.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.56793137,46.03113381,0.259408539,-1,221,144,"144.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.5786293,46.04196846,0.247691741,-1,221,144,"144.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.58939429,46.05295401,0.236370779,-1,221,144,"144.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.60022811,46.0640909,0.225436744,-1,221,144,"144.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.61113248,46.07537957,0.214880536,-1,191,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.62210917,46.08682047,0.204692907,-1,191,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.63315991,46.09841401,0.194864512,-1,191,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.64428646,46.11016065,0.185385943,-1,191,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.65549055,46.12206081,0.176247768,-1,191,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.66677394,46.13411493,0.167440564,-1,191,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.67813837,46.14632346,0.158954945,-1,191,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.6895856,46.15868682,0.150781585,-1,191,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.70111735,46.17120546,0.142911243,-1,191,145,"145.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.7127354,46.18387981,0.135334786,-1,191,150,"150.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.72444147,46.1967103,0.128043197,-1,191,150,"150.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.73623731,46.20969738,0.121027601,-1,218,149,"149.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.74812468,46.22284147,0.114279269,-1,218,149,"149.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.76010532,46.23614303,0.107789633,-1,218,149,"149.0"
CURVE 2,4.128135917,0.46112706,0.415391709,73.77218097,46.24960248,0.101550295,-1,218,149,"149.0"
