"Curve Name","Curve Length (um)","Average Curvature (um-1)","Curvature Std (um-1)","X-Coordinate (um)","Y-Coordinate (um)","Point Curvature (um-1)","Point Curvature Sign","Red Intensity","Green Intensity","Blue Intensity"
"CURVE 1","6.854531308553937","0.15592544421440213","0.046826668935706306","57.95804195804196","65.34265734265735","0.14674503019200918","-1","126.0","142.0","142.0"
"CURVE 1","6.854531308553937","0.15592544421440213","0.046826668935706306","57.978877087573075","65.38203435511022","0.14916779883824755","-1","126.0","142.0","142.0"
"CURVE 1","6.854531308553937","0.15592544421440213","0.046826668935706306","57.999422513521644","65.421495557665","0.15157767733693656","-1","126.0","142.0","142.0"
"CURVE 1","6.854531308553937","0.15592544421440213","0.046826668935706306","58.01967535485754","65.46104319112285","0.15397253759567828","-1","117.0","131.0","131.0"
"CURVE 1","6.854531308553937","0.15592544421440213","0.046826668935706306","58.03963273055069","65.50067949628497","0.15635018636828243","-1","117.0","131.0","131.0"
"CURVE 1","6.854531308553937","0.15592544421440213","0.046826668935706306","58.05929175957099","65.54040671395256","0.15870836770910177","-1","117.0","131.0","131.0"
"CURVE 1","6.854531308553937","0.15592544421440213","0.046826668935706306","58.07864956088834","65.58022708492679","0.16104476561684306","-1","117.0","131.0","131.0"
"CURVE 1","6.854531308553937","0.15592544421440213","0.046826668935706306","58.0977032534726","65.62014285000888","0.16335700748032417","-1","118.0","135.0","135.0"
"CURVE 1","6.854531308553937","0.15592544421440213","0.046826668935706306","58.1164499562937","65.66015625","0.16564266750108617","-1","118.0","135.0","135.0"
"CURVE 1","6.854531308553937","0.15592544421440213","0.046826668935706306","58.13488678832153","65.70026952570136","0.16789927070549743","-1","118.0","135.0","135.0"
"CURVE 1","6.854531308553937","0.15592544421440213","0.046826668935706306","58.153010868525996","65.74048491791412","0.17012429732641815","-1","118.0","135.0","135.0"
"CURVE 1","6.854531308553937","0.15592544421440213","0.046826668935706306","58.17081931587699","65.7808046674395","0.17231518787421346","-1","122.0","143.0","143.0"
"CURVE 1","6.854531308553937","0.15592544421440213","0.046826668935706306","58.1883092493444","65.82123101507868","0.17446934808645465","-1","122.0","143.0","143.0"
"CURVE 1","6.854531308553937","0.15592544421440213","0.046826668935706306","58.20547778789813","65.86176620163283","0.17658415472117267","-1","122.0","143.0","143.0"
"CURVE 1","6.854531308553937","0.15592544421440213","0.046826668935706306","58.22232205050808","65.90241246790319","0.1786569615222353","-1","122.0","143.0","143.0"
"CURVE 1","6.854531308553937","0.15592544421440213","0.046826668935706306","58.23883915614415","65.94317205469092","0.1806851058866789","-1","124.0","151.0","151.0"
"CURVE 1","6.854531308553937","0.15592544421440213","0.046826668935706306","58.25502622377622","65.9840472027972","0.18266591533660598","-1","121.0","139.0","139.0"
